VAE,aniosAprobados
4.03516033397,0
4.36553570844,1
4.72296029012,2
5.10964871024,3
5.52799692104,4
5.9805970414,5
6.47025341774,6
7.0,7
7.61216472993,8
8.27786455365,9
9.00178122777,10
9.78900593836,11
10.6450751064,12
12.0272157636,13
13.5888115,14
15.3531624951,15
17.346594189,16
19.5988500775,17
